Designator,Mid X,Mid Y,Rotation,Layer
C1,158.9,-78.6,0.0,top
C10,149.3,-111.88,270.0,top
C11,155.58,-104.4,0.0,top
C12,146.4,-97.6,90.0,top
C13,142.015,-101.6,180.0,top
C14,155.585,-105.4,0.0,top
C15,142.015,-106.4,180.0,top
C16,153.04,-109.66,0.0,top
C17,154.985,-102.0,0.0,top
C18,146.7,-111.08,270.0,top
C19,113.5,-83.0,0.0,top
C2,145.9,-94.2,0.0,top
C20,143.86,-72.01,0.0,top
C21,146.46,-72.01,180.0,top
C22,145.41,-66.15,180.0,top
C23,148.46,-68.41,180.0,top
C24,142.21,-69.47,90.0,top
C25,143.81,-65.75,270.0,top
C26,137.7,-89.91,270.0,top
C27,138.7,-89.91,270.0,top
C28,136.92,-79.8,90.0,top
C29,138.42,-80.2,180.0,top
C3,147.1,-114.0,180.0,top
C30,137.52,-77.6,270.0,top
C31,134.52,-77.6,270.0,top
C32,139.7,-89.91,270.0,top
C33,139.92,-79.38,90.0,top
C34,135.12,-79.8,90.0,top
C35,134.12,-79.8,90.0,top
C36,133.12,-79.8,90.0,top
C37,140.92,-79.38,90.0,top
C38,140.7,-89.91,270.0,top
C39,153.7,-146.6,270.0,top
C4,150.08,-114.0,0.0,top
C5,161.1,-89.0,0.0,top
C6,150.5,-100.4,0.0,top
C7,150.5,-99.45,0.0,top
C8,142.02,-104.0,180.0,top
C9,152.7,-99.95,270.0,top
CN1,108.0,-69.0,0.0,top
CN2,189.0,-69.0,0.0,top
CN3,136.5,-69.0,0.0,top
IC1,145.16,-69.1,90.0,top
J4,201.44,-116.5,90.0,top
L1,150.5,-97.8,0.0,top
Q1,115.7625,-73.6,180.0,top
Q3,181.5,-73.6,180.0,top
R10,146.46,-73.21,0.0,top
R11,161.8,-71.39,270.0,top
R12,143.86,-74.41,0.0,top
R13,146.46,-74.41,180.0,top
R14,151.53,-65.0,90.0,top
R17,152.73,-67.2,90.0,top
R18,141.99,-105.2,180.0,top
R19,136.7,-89.91,270.0,top
R2,148.1,-111.9,270.0,top
R20,134.7,-89.91,270.0,top
R21,135.7,-89.91,270.0,top
R22,136.52,-77.6,90.0,top
R23,135.52,-77.6,90.0,top
R24,114.81,-71.0,0.0,top
R25,116.81,-71.0,0.0,top
R26,114.81,-69.8,0.0,top
R27,180.5,-69.8,0.0,top
R28,180.5,-71.0,0.0,top
R3,158.75,-71.49,270.0,top
R30,116.81,-69.8,0.0,top
R32,182.5,-69.8,0.0,top
R33,182.5,-71.0,0.0,top
R36,114.81,-76.2,180.0,top
R37,116.81,-76.2,0.0,top
R4,182.99,-144.85,180.0,top
R5,152.7,-98.1,270.0,top
R6,133.8,-95.2,180.0,top
R7,147.4,-97.6,270.0,top
R8,148.4,-97.6,270.0,top
R9,143.86,-73.21,180.0,top
RV1,148.5,-131.5,0.0,top
RV10,125.5,-74.0,0.0,top
RV11,125.5,-97.0,0.0,top
RV12,125.5,-120.0,0.0,top
RV13,171.5,-74.0,0.0,top
RV14,148.5,-85.5,0.0,top
RV15,171.5,-97.0,0.0,top
RV16,171.5,-120.0,0.0,top
RV2,194.5,-131.5,0.0,top
RV3,194.5,-108.5,0.0,top
RV4,194.5,-85.5,0.0,top
RV5,102.5,-85.5,0.0,top
RV6,102.5,-108.5,0.0,top
RV7,102.5,-131.5,0.0,top
RV8,125.5,-143.0,0.0,top
RV9,171.5,-143.0,0.0,top
SW2,109.7,-145.0,0.0,top
SW3,187.3,-145.0,0.0,top
U1,148.5,-105.0,0.0,top
U2,160.7,-83.8,90.0,top
U3,139.8551,-96.095,0.0,top
U4,148.5,-143.0,180.0,top
U5,136.795,-84.8625,180.0,top
USB1,160.5,-65.36,180.0,top
Y1,148.5,-117.4,0.0,top
